Location,LAI_drone,LAI_Licor
1,3.794,4.07
2,3.642,3.499
3,3.145,3.569
4,2.217,3.616
5,3.357,3.55
6,2.417,2.427
7,2.772,2.55
8,3.218,4.39
9,3.218,2.993
10,2.51,3.404
11,2.258,2.926
12,1.756,2.704
13,2.189,2.782
14,2.772,3.209
15,0.851,1.742
16,2.522,3.625
17,2.772,2.581
18,2.772,2.964
19,1.832,2.127
20,3.028,2.231
21,1.518,2.747
22,2.043,1.725
23,3.389,2.863
24,2.51,3.466
25,3.028,2.421
26,1.597,1.345
27,3.794,2.102
28,3.252,2.026
29,2.07,1.302
30,1.611,1.632
31,2.362,1.299
32,2.217,2.17
33,3.673,2.131
34,2.659,2.117
35,2.772,2.706
36,1.746,1.722
37,1.51,2.603
38,0.868,1.47
39,2.184,2.094
40,2.772,1.338
41,1.117,1.587
42,1.911,1.547
43,2.136,1.784
44,2.323,1.794
45,1.551,1.944
46,1.935,1.118
47,1.832,1.477
48,1.832,0.976
49,1.396,2.504
50,1.966,2.196
51,2.772,1.822
52,2.186,1.16
53,1.511,1.792
54,1.012,0.862
55,1.885,2.429
56,1.505,0.287
57,2.055,0.431
58,2.609,1.406
59,2.384,0.738
60,1.597,0.785
